Running ./shock1d.py

Starting from step 0
--------------------------------------------------------------------------
By default, for Open MPI 4.0 and later, infiniband ports on a device
are not used by default.  The intent is to use UCX for these devices.
You can override this policy by setting the btl_openib_allow_ib MCA parameter
to true.

  Local host:              lassen616
  Local adapter:           mlx5_1
  Local port:              1

--------------------------------------------------------------------------
--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   lassen616
  Local device: mlx5_1
--------------------------------------------------------------------------
[lassen616:20709] mca_base_component_repository_open: unable to open mca_pml_pami: libpami.so.3: cannot open shared object file: No such file or directory (ignored)
[1612459512.576686] [lassen616:20709:0]         mxm.c:196  MXM  WARN  The 'ulimit -s' on the system is set to 'unlimited'. This may have negative performance implications. Please set the stack size to the default value (10240) 
[lassen616:20709] mca_base_component_repository_open: unable to open mca_coll_ibm: libcollectives.so.3: cannot open shared object file: No such file or directory (ignored)
[lassen616:20709] mca_base_component_repository_open: unable to open mca_osc_pami: libpami.so.3: cannot open shared object file: No such file or directory (ignored)
Shock capturing parameters: alpha 0.1, s0 -7.0, kappa 0.5
Time step estimate 4.7576818033456516e-08

Viscous timestep estimate 8.662571755935413e-09

4482 elements
rank 0: sent all mesh partitions
Making discretization
Initializing soln.
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:289: UserWarning: Logging had to guess units for 'pressure': 'Pa'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:289: UserWarning: Logging had to guess units for 'temperature': 'K'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:244: UserWarning: Logging had to guess units for 'mass': 'kg/m^3'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:244: UserWarning: Logging had to guess units for 'energy': 'J/m^3'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:244: UserWarning: Logging had to guess units for 'momentum': 'kg*m/s/m^3'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
./shock1d.py:326: DeprecationWarning: DGDiscretizationWithBoundaries.order is deprecated, consider using the orders of element groups instead. 'order' will go away in 2021.
  visualizer = make_visualizer(discr, discr.order)
Initialization for Case(y0euler)
===
Num 2d order-3 elements: 4482
Num global elements: 4482
Timestep:        5e-08
Final time:      0.0003
CFL:             1.0
Constant CFL:    False
Initialization:  pseudoY0
EOS:             IdealSingleGas

Stepping.
Status: step=0 t=0
------- P(100, 438)
------- T(298, 450)
------- dt=5e-08 cfl=1.0
------- errors=0.00168, 846, 1.2, 0
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
step.max=0 | t_sim.max=0 | t_step.max=4.5605 | min_pressure=0 | max_pressure=0 | min_temperature=0 | max_temperature=0 | memory_usage.max=833.75
step.max=21 | t_sim.max=1.05e-06 | t_step.max=1.07135 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=944.188
step.max=22 | t_sim.max=1.1e-06 | t_step.max=1.07066 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=944.188
step.max=23 | t_sim.max=1.15e-06 | t_step.max=1.07067 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=947.125
step.max=24 | t_sim.max=1.2e-06 | t_step.max=1.09428 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=947.125
step.max=25 | t_sim.max=1.25e-06 | t_step.max=1.07433 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=951.438
step.max=26 | t_sim.max=1.3e-06 | t_step.max=1.07175 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=952.5
step.max=27 | t_sim.max=1.35e-06 | t_step.max=1.07145 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=954.188
step.max=28 | t_sim.max=1.4e-06 | t_step.max=1.07174 | min_pressure=100 | max_pressure=437.884 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=954.188
step.max=29 | t_sim.max=1.45e-06 | t_step.max=1.07173 | min_pressure=100 | max_pressure=437.884 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=954.188
step.max=30 | t_sim.max=1.5e-06 | t_step.max=1.07823 | min_pressure=100 | max_pressure=437.884 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=957.938
step.max=31 | t_sim.max=1.55e-06 | t_step.max=1.07382 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.775 | memory_usage.max=960.5
step.max=32 | t_sim.max=1.6e-06 | t_step.max=1.0722 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=960.812
step.max=33 | t_sim.max=1.65e-06 | t_step.max=1.07145 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=963.312
step.max=34 | t_sim.max=1.7e-06 | t_step.max=1.07176 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=963.312
step.max=35 | t_sim.max=1.75e-06 | t_step.max=1.07277 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=963.312
step.max=36 | t_sim.max=1.8e-06 | t_step.max=1.07927 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=967.312
step.max=37 | t_sim.max=1.85e-06 | t_step.max=1.0744 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=969.5
step.max=38 | t_sim.max=1.9e-06 | t_step.max=1.07152 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=971
step.max=39 | t_sim.max=1.95e-06 | t_step.max=1.07212 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=971
step.max=40 | t_sim.max=2e-06 | t_step.max=1.07221 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=973.75
step.max=41 | t_sim.max=2.05e-06 | t_step.max=1.07236 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=973.75
step.max=42 | t_sim.max=2.1e-06 | t_step.max=1.07315 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=973.75
step.max=43 | t_sim.max=2.15e-06 | t_step.max=1.07996 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=977.812
step.max=44 | t_sim.max=2.2e-06 | t_step.max=1.07457 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=980.062
step.max=45 | t_sim.max=2.25e-06 | t_step.max=1.07257 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=981.188
step.max=46 | t_sim.max=2.3e-06 | t_step.max=1.07413 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=981.188
step.max=47 | t_sim.max=2.35e-06 | t_step.max=1.0728 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=983.312
step.max=48 | t_sim.max=2.4e-06 | t_step.max=1.07306 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=983.312
step.max=49 | t_sim.max=2.45e-06 | t_step.max=1.0731 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=986.562
step.max=50 | t_sim.max=2.5e-06 | t_step.max=1.07977 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=986.562
step.max=51 | t_sim.max=2.55e-06 | t_step.max=1.07296 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=990.688
step.max=52 | t_sim.max=2.6e-06 | t_step.max=1.07463 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=990.938
step.max=53 | t_sim.max=2.65e-06 | t_step.max=1.07272 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=992.938
step.max=54 | t_sim.max=2.7e-06 | t_step.max=1.0753 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=994.312
step.max=55 | t_sim.max=2.75e-06 | t_step.max=1.07271 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=994.312
step.max=56 | t_sim.max=2.8e-06 | t_step.max=1.07289 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=997.812
step.max=57 | t_sim.max=2.85e-06 | t_step.max=1.0727 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=997.812
step.max=58 | t_sim.max=2.9e-06 | t_step.max=1.0731 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=997.812
step.max=59 | t_sim.max=2.95e-06 | t_step.max=1.07629 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=1001.81
step.max=60 | t_sim.max=3e-06 | t_step.max=1.07231 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=1004.25
step.max=61 | t_sim.max=3.05e-06 | t_step.max=1.07572 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=1005.38
step.max=62 | t_sim.max=3.1e-06 | t_step.max=1.0704 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=1007.31
step.max=63 | t_sim.max=3.15e-06 | t_step.max=1.07253 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=1007.62
step.max=64 | t_sim.max=3.2e-06 | t_step.max=1.07021 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=1010.25
step.max=65 | t_sim.max=3.25e-06 | t_step.max=1.07158 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=1010.25
step.max=66 | t_sim.max=3.3e-06 | t_step.max=1.07146 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1010.25
step.max=67 | t_sim.max=3.35e-06 | t_step.max=1.07098 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1013.69
step.max=68 | t_sim.max=3.4e-06 | t_step.max=1.07333 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1013.69
step.max=69 | t_sim.max=3.45e-06 | t_step.max=1.07102 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1017.5
step.max=70 | t_sim.max=3.5e-06 | t_step.max=1.07608 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1017.88
step.max=71 | t_sim.max=3.55e-06 | t_step.max=1.08747 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1020.94
step.max=72 | t_sim.max=3.6e-06 | t_step.max=1.07147 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=1021.62
step.max=73 | t_sim.max=3.65e-06 | t_step.max=1.07302 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=1021.62
step.max=74 | t_sim.max=3.7e-06 | t_step.max=1.07118 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=1025.19
step.max=75 | t_sim.max=3.75e-06 | t_step.max=1.07116 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=1025.19
step.max=76 | t_sim.max=3.8e-06 | t_step.max=1.07071 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=1025.19
step.max=77 | t_sim.max=3.85e-06 | t_step.max=1.07132 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=1029
step.max=78 | t_sim.max=3.9e-06 | t_step.max=1.07217 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=1029
step.max=79 | t_sim.max=3.95e-06 | t_step.max=1.07035 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=1032.94
step.max=80 | t_sim.max=4e-06 | t_step.max=1.07109 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=1033
step.max=81 | t_sim.max=4.05e-06 | t_step.max=1.07751 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=1035.12
step.max=82 | t_sim.max=4.1e-06 | t_step.max=1.07035 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=1037.12
step.max=83 | t_sim.max=4.15e-06 | t_step.max=1.07056 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=1038.88
step.max=84 | t_sim.max=4.2e-06 | t_step.max=1.07246 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=1038.88
step.max=85 | t_sim.max=4.25e-06 | t_step.max=1.07017 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=1038.88
step.max=86 | t_sim.max=4.3e-06 | t_step.max=1.07059 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=1042.19
step.max=87 | t_sim.max=4.35e-06 | t_step.max=1.07122 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=1042.19
step.max=88 | t_sim.max=4.4e-06 | t_step.max=1.07124 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=1046.12
step.max=89 | t_sim.max=4.45e-06 | t_step.max=1.07083 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=1046.12
step.max=90 | t_sim.max=4.5e-06 | t_step.max=1.07096 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=1046.12
step.max=91 | t_sim.max=4.55e-06 | t_step.max=1.07162 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=1050.25
step.max=92 | t_sim.max=4.6e-06 | t_step.max=1.06998 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=1051.81
step.max=93 | t_sim.max=4.65e-06 | t_step.max=1.07066 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=1052.62
step.max=94 | t_sim.max=4.7e-06 | t_step.max=1.07626 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1052.62
step.max=95 | t_sim.max=4.75e-06 | t_step.max=1.07112 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1056.69
step.max=96 | t_sim.max=4.8e-06 | t_step.max=1.07077 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1057.94
step.max=97 | t_sim.max=4.85e-06 | t_step.max=1.07253 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1057.94
step.max=98 | t_sim.max=4.9e-06 | t_step.max=1.07105 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1061.62
step.max=99 | t_sim.max=4.95e-06 | t_step.max=1.0706 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1061.62
step.max=100 | t_sim.max=5e-06 | t_step.max=1.07029 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1061.62
step.max=101 | t_sim.max=5.05e-06 | t_step.max=1.07066 | min_pressure=100 | max_pressure=437.891 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1065.19
step.max=102 | t_sim.max=5.1e-06 | t_step.max=1.0713 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1065.19
step.max=103 | t_sim.max=5.15e-06 | t_step.max=1.07081 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1065.19
step.max=104 | t_sim.max=5.2e-06 | t_step.max=1.07105 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1069.25
step.max=105 | t_sim.max=5.25e-06 | t_step.max=1.07224 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1069.25
step.max=106 | t_sim.max=5.3e-06 | t_step.max=1.07085 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1073.69
step.max=107 | t_sim.max=5.35e-06 | t_step.max=1.07136 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1074.06
step.max=108 | t_sim.max=5.4e-06 | t_step.max=1.07111 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1074.06
step.max=109 | t_sim.max=5.45e-06 | t_step.max=1.07745 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1077.25
step.max=110 | t_sim.max=5.5e-06 | t_step.max=1.07192 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1079.75
step.max=111 | t_sim.max=5.55e-06 | t_step.max=1.07192 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1080.88
step.max=112 | t_sim.max=5.6e-06 | t_step.max=1.07191 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1080.88
step.max=113 | t_sim.max=5.65e-06 | t_step.max=1.07334 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1083.94
step.max=114 | t_sim.max=5.7e-06 | t_step.max=1.07149 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1085.81
step.max=115 | t_sim.max=5.75e-06 | t_step.max=1.08699 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1085.81
step.max=116 | t_sim.max=5.8e-06 | t_step.max=1.07065 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1088.12
step.max=117 | t_sim.max=5.85e-06 | t_step.max=1.0718 | min_pressure=100 | max_pressure=437.89 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1088.12
step.max=118 | t_sim.max=5.9e-06 | t_step.max=1.07217 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=1088.12
